repo,has_package_json,has_lockfile,has_node_modules,build_script,dev_script,framework,has_tsconfig,has_tailwind,env_example,src_dirs,file_count
Parpoura-wtrees/pr-208-pin-github-actions/docs,yes,bun.lock,no,,,vite,no,no,no,,1
Parpoura-wtrees/pr-208-pin-github-actions,yes,package-lock.json,no,,,vite,no,no,yes,,1
Parpoura/docs,yes,bun.lock,no,,,vite,no,no,no,,1
Parpoura,yes,package-lock.json,yes,,,vite,no,no,yes,,1
Planify/packages/i18n,yes,,no,tsdown,tsdown --watch,,yes,no,no,src,1
QuadSGM-wtrees/journey-impl/docs,yes,,no,,,vite,no,no,no,,1
QuadSGM-wtrees/lockfile-update/docs,yes,,no,,,vite,no,no,no,,1
QuadSGM-wtrees/manifest-fix-and-lockfile-2026-04-27/docs,yes,,no,,,vite,no,no,no,,1
QuadSGM/docs,yes,,no,,,vite,no,no,no,,1
Tokn-wtrees/main-ci-followup-20260427/docs,yes,,yes,,,vite,no,no,no,,1
Tokn-wtrees/sladge-badge/docs,yes,bun.lock,no,,,vite,no,no,no,,1
Tokn-wtrees/workflow-worklog-hygiene-20260427/docs,yes,,yes,,,vite,no,no,no,,1
Tokn/docs,yes,,yes,,,vite,no,no,no,,1
agentapi-plusplus-wtrees/lockfile-update/docs,yes,package-lock.json,yes,vitepress build .,vitepress dev .,vue-vite,no,no,no,,1
agentapi-plusplus-wtrees/main-clean-20260426/docs,yes,package-lock.json,yes,vitepress build .,vitepress dev .,vue-vite,no,no,no,,1
agentapi-plusplus-wtrees/remove-vendor-tree/docs,yes,package-lock.json,yes,vitepress build .,vitepress dev .,vue-vite,no,no,no,,1
agentapi-plusplus/agentapi-plusplus/docs,yes,package-lock.json,no,,,vite,no,no,no,,1
agentapi-plusplus/docs,yes,package-lock.json,yes,vitepress build .,vitepress dev .,vue-vite,no,no,no,,1
cliproxyapi-plusplus-wtrees/build-fix-2/docs,yes,,no,,,vite,no,no,no,,1
cliproxyapi-plusplus-wtrees/build-fix-3/docs,yes,,no,,,vite,no,no,no,,1
cliproxyapi-plusplus-wtrees/build-fix/docs,yes,,no,,,vite,no,no,no,,1
cliproxyapi-plusplus-wtrees/pathsafe/docs,yes,,no,,,vite,no,no,no,,1
cliproxyapi-plusplus-wtrees/trufflehog/docs,yes,,no,,,vite,no,no,no,,1
cliproxyapi-plusplus-wtrees/urlguard/docs,yes,,no,,,vite,no,no,no,,1
cliproxyapi-plusplus/docs,yes,,no,,,vite,no,no,no,,1
cliproxyapi-plusplus/journey-fix/docs,yes,,no,,,vite,no,no,no,,1
helios-router-wtrees/sladge-badge/docs,yes,package-lock.json,yes,,,vite,no,no,no,,1
helios-router/docs,yes,package-lock.json,yes,,,vite,no,no,no,,1
thegent-wtrees/wip-git-parallelism/docs,yes,,no,,,vite,no,no,no,,1
thegent-wtrees/wip-git-parallelism,yes,,no,,,vue-vite,yes,no,yes,src,1
thegent-wtrees/wip-idea-seeds/docs,yes,,no,,,vite,no,no,no,,1
thegent-wtrees/wip-idea-seeds,yes,,no,,,vue-vite,yes,no,yes,src,1
thegent/docs,yes,,no,,,vite,no,no,no,,1
thegent/thegent-wtrees/ruff-fix,yes,,no,,,vue-vite,yes,no,yes,src,1
